"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","testInsertLocalMultiple_CallsDao","","2026-04-18","passed","2026-04-18","","com.example.moviedb.data.repository.UserRepositoryTest","com.example.moviedb.data.repository.UserRepositoryTest","testInsertLocalMultiple_CallsDao"
"","2","testGetMovieLocal_ReturnsMovie","","2026-04-18","passed","2026-04-18","","com.example.moviedb.data.repository.UserRepositoryTest","com.example.moviedb.data.repository.UserRepositoryTest","testGetMovieLocal_ReturnsMovie"
"","3","testGetMovieList_ReturnsMovies","","2026-04-18","passed","2026-04-18","","com.example.moviedb.data.repository.UserRepositoryTest","com.example.moviedb.data.repository.UserRepositoryTest","testGetMovieList_ReturnsMovies"
"","2","testGetFavoriteLocal_ReturnsFavorites","","2026-04-18","passed","2026-04-18","","com.example.moviedb.data.repository.UserRepositoryTest","com.example.moviedb.data.repository.UserRepositoryTest","testGetFavoriteLocal_ReturnsFavorites"
"","4","testGetMovieById_ReturnsMovie","","2026-04-18","passed","2026-04-18","","com.example.moviedb.data.repository.UserRepositoryTest","com.example.moviedb.data.repository.UserRepositoryTest","testGetMovieById_ReturnsMovie"
"","710","testGetMovieListLocal_ReturnsMovies","","2026-04-18","passed","2026-04-18","","com.example.moviedb.data.repository.UserRepositoryTest","com.example.moviedb.data.repository.UserRepositoryTest","testGetMovieListLocal_ReturnsMovies"
"","2","testInsertLocal_CallsDao","","2026-04-18","passed","2026-04-18","","com.example.moviedb.data.repository.UserRepositoryTest","com.example.moviedb.data.repository.UserRepositoryTest","testInsertLocal_CallsDao"
"","3","testDeleteAllLocal_CallsDao","","2026-04-18","passed","2026-04-18","","com.example.moviedb.data.repository.UserRepositoryTest","com.example.moviedb.data.repository.UserRepositoryTest","testDeleteAllLocal_CallsDao"
"","1","testDeleteMovieLocal_CallsDao","","2026-04-18","passed","2026-04-18","","com.example.moviedb.data.repository.UserRepositoryTest","com.example.moviedb.data.repository.UserRepositoryTest","testDeleteMovieLocal_CallsDao"
"","2","testUpdateLocal_CallsDao","","2026-04-18","passed","2026-04-18","","com.example.moviedb.data.repository.UserRepositoryTest","com.example.moviedb.data.repository.UserRepositoryTest","testUpdateLocal_CallsDao"
